# code name : Parallel Tempering for 2D Ferromagnetic Ising Model
# author : Andrew Noble
# version : v0.1
# inspired by : Prof. Helmut Katzgraber

# system size : 20
# number of spins : 400
# space dimension : 2
# lattice coordination number : 4
# process ID : 12523
# hostname : Andrews-MacBook-Pro-4.local
# job start : Sun Mar  1 23:14:55 2020

# temperature set
# | 0.10
# | 0.13
# | 0.16
# | 0.20
# | 0.25
# | 0.32
# | 0.40
# | 0.50
# | 0.63
# | 0.79
# | 1.00
# | 1.26
# | 1.58
# | 2.00
# | 2.51
# | 3.16
# | 3.98
# | 5.01
# | 6.31
# | 7.94
# | 10.00

# T MCS <energy> <m>
1.0000 15000 -2.0000 1.0000
1.2600 15000 -1.9800 0.9950
1.5800 15000 -1.9400 0.9850
2.0000 15000 -1.8300 0.9500
2.5100 15000 -1.0800 0.2500
3.1600 15000 -0.5700 0.0750
3.9800 15000 -0.4000 0.0900
5.0100 15000 -0.3600 0.1300
6.3100 15000 -0.4600 0.1950
7.9400 15000 -0.3100 0.1250
10.0000 15000 -0.2400 0.1150

0.1000 16000 -2.0000 1.0000
0.1300 16000 -2.0000 1.0000
0.1600 16000 -2.0000 1.0000
0.2000 16000 -2.0000 1.0000
0.2500 16000 -2.0000 1.0000
0.3200 16000 -2.0000 1.0000
0.4000 16000 -2.0000 1.0000
0.5000 16000 -2.0000 1.0000
0.6300 16000 -2.0000 1.0000
0.7900 16000 -2.0000 1.0000
1.0000 16000 -2.0000 1.0000
1.2600 16000 -2.0000 1.0000
1.5800 16000 -1.9800 0.9950
2.0000 16000 -1.5400 0.8300
2.5100 16000 -1.1900 0.2400
3.1600 16000 -0.6600 0.0650
3.9800 16000 -0.6400 0.1500
5.0100 16000 -0.6000 0.1200
6.3100 16000 -0.4200 0.0250
7.9400 16000 -0.2800 0.0200
10.0000 16000 -0.1900 0.0400

0.1000 17000 -2.0000 1.0000
0.1300 17000 -2.0000 1.0000
0.1600 17000 -2.0000 1.0000
0.2000 17000 -2.0000 1.0000
0.2500 17000 -2.0000 1.0000
